codice_istat,indice_istruzione
80015,34.56
15036,50.64
104009,34.07
37008,40.62
12025,43.11
16175,27.97
7053,40.41
23061,28.03
89021,34.41
10045,16.2
12023,40.22
12024,35.51
5011,28.68
51005,30.9
14010,23.98
65018,35.89
50002,34.47
6025,35.05
2002,38.15
65003,35.43
16003,29.92
72003,37.52
35001,47.81
90018,28.12
92008,16.0
95017,23.45
1044,35.8
1045,43.72
12027,25.06
35008,33.3
12028,39.77
13037,33.16
61009,42.84
95018,27.13
41007,39.27
22030,35.41
64013,24.34
56010,40.42
17032,28.55
22033,25.4
48005,36.26
34008,30.63
9017,32.15
107002,36.24
50003,52.47
97012,42.35
75010,44.32
97013,30.36
5015,30.92
98007,24.73
96010,33.82
85004,46.7
76016,22.31
17034,27.95
84008,38.01
65021,31.52
19010,29.8
27002,28.82
35010,32.44
66015,50.73
70006,58.26
59003,30.42
70009,29.77
10009,32.68
43008,30.62
22039,35.1
1050,36.11
15046,32.67
103016,35.94
16049,33.66
57009,37.92
27005,28.19
46007,35.19
66020,38.88
17036,16.77
94006,43.23
73022,33.77
72036,37.39
5088,25.0
1209,25.57
58014,34.46
42007,46.24
33009,24.4
84009,34.48
9004,40.74
17004,24.05
90003,42.7
61002,40.13
28020,32.78
28017,36.43
28018,35.32
82016,21.09
36003,37.45
24023,30.5
16005,29.04
1006,43.12
82004,40.42
24004,39.64
61003,39.14
1210,25.2
84029,39.49
87036,26.19
30087,31.9
75013,39.17
83010,35.34
31001,40.36
4041,28.48
8048,31.33
76065,33.45
18119,30.65
43044,41.61
20048,26.71
60005,30.21
16009,31.33
1010,37.7
21002,33.62
65023,37.56
71009,36.59
80019,24.13
78102,65.98
30093,23.27
7055,28.24
58081,51.06
6143,31.56
44010,32.52
26008,40.61
4042,24.28
1057,21.43
58005,49.94
5003,37.64
57003,40.71
7003,41.45
43002,34.59
18028,42.72
66017,37.47
78024,31.52
20008,26.88
4038,19.72
71041,31.01
2113,28.79
94039,37.72
